ArticleID,Source,Date
1,Jerusalem Post,"October 6, 2023 Friday"
2,The Times of India (TOI),"October 6, 2023 Friday"
3,The Times of India (TOI),"October 6, 2023 Friday"
4,Jerusalem Post,"October 6, 2023 Friday"
5,The New York Times,"October 6, 2023 Friday"
6,Jerusalem Post,"October 6, 2023 Friday"
7,L' Orient Today,"October 6, 2023 Friday"
8,"Banking and Stock Exchange, Finance, Economics (Russia)","October 6, 2023 Friday"
9,What the Papers Say (EV) (Russia),"October 6, 2023 Friday"
10,The Independent (United Kingdom),"October 6, 2023 Friday 8:29 PM GMT"
11,Jerusalem Post,"October 6, 2023 Friday"
12,Asharq Alawsat (English Edition),"October 6, 2023 Friday"
13,Abbotsford News,"October 7, 2023"
14,Gulf Times,"October 7, 2023 Saturday"
15,Qatar Tribune,"October 7, 2023 Saturday"
16,CE Latin America Migration English,"October 7, 2023 Saturday"
17,Haaretz (English),"October 7, 2023 Saturday"
18,Free Press Journal (India),"October 7, 2023"
19,The New York Times,"October 7, 2023 Saturday 11:02 EST"
20,Asharq Alawsat (English Edition),"October 7, 2023 Saturday"
21,Asharq Alawsat (English Edition),"October 7, 2023 Saturday"
22,MailOnline,"October 7, 2023 Saturday 7:20 PM GMT"
23,Toronto Sun,"October 7, 2023 Saturday"
24,Abbotsford News,"October 7, 2023"
25,The Guardian (London),"October 7, 2023 Saturday 7:20 AM GMT"
26,The Observer (London),"October 7, 2023 Saturday 7:12 PM GMT"
27,Asharq Alawsat (English Edition),"October 7, 2023 Saturday"
28,The New York Times,"October 7, 2023 Saturday 19:49 EST"
29,Asharq Alawsat (English Edition),"October 7, 2023 Saturday"
30,Toronto Sun,"October 7, 2023 Saturday"
31,Toronto Sun,"October 7, 2023 Saturday"
32,The New York Times,"October 7, 2023 Saturday 11:30 EST"
33,Toronto Sun,"October 7, 2023 Saturday"
34,Toronto Sun,"October 7, 2023 Saturday"
35,Toronto Sun,"October 7, 2023 Saturday"
36,The New York Times,"October 7, 2023 Saturday 16:46 EST"
37,The Independent (United Kingdom),"October 7, 2023 Saturday 7:35 PM GMT"
38,Siasat Daily (India),"October 7, 2023 Saturday"
39,The Malta Independent,"October 7, 2023"
40,MailOnline,"October 7, 2023 Saturday 6:21 PM GMT"
41,The New York Times,"October 7, 2023 Saturday 10:40 EST"
42,The New Arab,"October 7, 2023 Saturday"
43,The Independent (United Kingdom),"October 7, 2023 Saturday 7:09 PM GMT"
44,Scotsman,"October 7, 2023 Saturday"
45,Hindustan Times,"October 7, 2023 Saturday"
46,Asharq Alawsat (English Edition),"October 7, 2023 Saturday"
47,The Nation (Nigeria),"October 7, 2023 Saturday"
48,L' Orient Today,"October 7, 2023 Saturday"
49,The Independent (United Kingdom),"October 7, 2023 Saturday 11:34 PM GMT"
50,The Independent (United Kingdom),"October 7, 2023 Saturday 8:15 AM GMT"
51,The Times of India (TOI),"October 7, 2023 Saturday"
52,MINT,"October 7, 2023 Saturday"
53,MINT,"October 7, 2023 Saturday"
54,MINT,"October 7, 2023 Saturday"
55,The New Arab,"October 7, 2023 Saturday"
56,MINT,"October 7, 2023 Saturday"
57,The Deseret News,"October 7, 2023 Saturday"
58,MINT,"October 7, 2023 Saturday"
59,The New York Times,"October 7, 2023 Saturday 11:23 EST"
60,The Hindu,"October 7, 2023 Saturday"
