Source,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,total_count,Association
ASEAN Tribune,973,165,12,23,12,5,15,7,43,0,7,29,3,6,8,0,9,8,25,4,4,3,0,1,1,3,0,1,0,2,15,0,4,23,1,3,2,4,4,1,0,0,15,4,17,3,2,0,4,2,0,0,0,2,1,0,11,0,0,1,2,0,0,0,1490,Southeast Asia
Abbotsford News,903,7,7,17,9,3,12,7,4,0,3,2,12,3,6,0,10,3,15,4,3,4,2,5,4,2,0,4,1,2,2,1,8,2,9,5,10,0,3,2,5,2,2,4,0,4,2,1,1,0,29,0,5,4,1,2,4,0,0,6,3,1,1,0,1173,Canada
"AdnkroNos International, Rome",212,0,0,4,2,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,239,Europe
Anchor: Rhode Island College,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,US
Arab News Digest,910,3,0,22,15,20,32,3,10,0,6,7,31,2,17,0,4,4,8,4,0,2,4,0,7,11,0,0,0,11,0,0,4,5,2,4,8,4,2,0,11,0,9,0,6,5,0,0,1,2,1,0,0,4,8,5,1,0,1,2,1,1,2,4,1226,Europe
Arizona Daily Wildcat: University of Arizona,66,0,3,0,1,2,0,1,0,0,4,0,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,94,US
Asharq Alawsat (English Edition),1700,6,5,50,23,15,25,9,24,0,4,10,12,2,15,0,10,17,13,12,2,7,2,6,12,21,0,6,0,5,3,2,6,3,10,11,8,6,7,5,9,6,18,0,20,2,12,2,9,6,1,0,4,9,11,9,4,0,8,7,4,1,2,8,2226,MENA
Atlas Society,63,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,US
Badger Herald: University of Wisconsin - Madison,40,0,4,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,US
Bangladesh Weekly,351,2,2,0,3,7,7,6,1,0,1,0,0,1,0,0,3,2,4,0,1,2,1,3,1,0,0,1,0,0,1,1,5,4,3,2,0,0,2,0,0,2,0,0,0,2,2,0,2,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,432,Bangladesh
